;chip_name;description;input_voltage;output_voltage;output_node;model_file;output_number
84;ADP1621;Constant-Frequency, Current-Mode Step-Up DC-to-DC Controller;5.0;[12.0];['V(out)'];ADP1621.asc;1
85;ADP163;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[3.3];['V(out)'];ADP163.asc;1
86;ADP165-1.2;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[1.2];['V(out)'];ADP165-1.2.asc;1
87;ADP165-1.8;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[1.8];['V(out)'];ADP165-1.8.asc;1
88;ADP165-2.2;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[2.2];['V(out)'];ADP165-2.2.asc;1
89;ADP165-2.3;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[2.3];['V(out)'];ADP165-2.3.asc;1
90;ADP165-2.85;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[2.9];['V(out)'];ADP165-2.85.asc;1
91;ADP165-3.0;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[3.0];['V(out)'];ADP165-3.0.asc;1
92;ADP165-3.3;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[3.3];['V(out)'];ADP165-3.3.asc;1
93;ADP165-ADJ;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[3.3];['V(out)'];ADP165-ADJ.asc;1
94;ADP166-1.2;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[1.2];['V(out)'];ADP166-1.2.asc;1
95;ADP166-1.8;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[1.8];['V(out)'];ADP166-1.8.asc;1
96;ADP166-2.2;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[2.2];['V(out)'];ADP166-2.2.asc;1
97;ADP166-2.3;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[2.3];['V(out)'];ADP166-2.3.asc;1
98;ADP166-2.85;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[2.9];['V(out)'];ADP166-2.85.asc;1
99;ADP166-3.0;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[3.0];['V(out)'];ADP166-3.0.asc;1
100;ADP166-3.3;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[3.3];['V(out)'];ADP166-3.3.asc;1
101;ADP166-ADJ;Very Low Quiescent Current, 150mA, LDO Regulator;5.0;[3.3];['V(out)'];ADP166-ADJ.asc;1
102;ADP1708;1A, Low Dropout, CMOS Linear Regulator;5.5;[3.3];['V(out)'];ADP1708.asc;1
103;ADP172-0.9;0.9V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[0.9];['V(out)'];ADP172-0.9.asc;1
104;ADP172-1;1V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[1.0];['V(out)'];ADP172-1.asc;1
105;ADP172-1.2;1.2V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[1.2];['V(out)'];ADP172-1.2.asc;1
106;ADP172-1.26;1.26V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[1.2];['V(out)'];ADP172-1.26.asc;1
107;ADP172-1.5;1.5V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[1.5];['V(out)'];ADP172-1.5.asc;1
108;ADP172-1.65;1.65V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[1.6];['V(out)'];ADP172-1.65.asc;1
109;ADP172-1.7;1.7V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[1.7];['V(out)'];ADP172-1.7.asc;1
110;ADP172-1.8;1.8V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[1.8];['V(out)'];ADP172-1.8.asc;1
111;ADP172-2.1;2.1V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[2.1];['V(out)'];ADP172-2.1.asc;1
112;ADP172-2.2;2.2V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[2.2];['V(out)'];ADP172-2.2.asc;1
113;ADP172-2.9;2.9V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[2.9];['V(out)'];ADP172-2.9.asc;1
114;ADP172-3;3V, 300 mA, Low Quiescent Current, CMOS Linear Regulator;3.6;[3.0];['V(out)'];ADP172-3.asc;1
115;ADP1740-0.75;0.75V, 2A, Low VIN, Low Dropout Linear Regulator;1.8;[0.7];['V(out)'];ADP1740-0.75.asc;1
116;ADP1740-1;1V, 2A, Low VIN, Low Dropout Linear Regulator;1.8;[1.0];['V(out)'];ADP1740-1.asc;1
117;ADP1740-1.1;1.1V, 2A, Low VIN, Low Dropout Linear Regulator;1.8;[1.1];['V(out)'];ADP1740-1.1.asc;1
118;ADP1740-1.2;1.2V, 2A, Low VIN, Low Dropout Linear Regulator;1.8;[1.2];['V(out)'];ADP1740-1.2.asc;1
119;ADP1740-1.3;1.3V, 2A, Low VIN, Low Dropout Linear Regulator;1.8;[1.3];['V(out)'];ADP1740-1.3.asc;1
120;ADP1740-1.5;1.5V, 2A, Low VIN, Low Dropout Linear Regulator;1.8;[1.5];['V(out)'];ADP1740-1.5.asc;1
121;ADP1740-1.8;1.8V, 2A, Low VIN, Low Dropout Linear Regulator;2.1;[1.8];['V(out)'];ADP1740-1.8.asc;1
122;ADP1740-2.5;2.5V, 2A, Low VIN, Low Dropout Linear Regulator;2.8;[2.5];['V(out)'];ADP1740-2.5.asc;1
123;ADP1761;1A, Low Vin, Low Noise, CMOS Linear Regulator;1.8;[1.5];['V(out)'];ADP1761.asc;1
124;ADP1762;2A, Low Vin, Low Noise, CMOS Linear Regulator;1.8;[1.5];['V(out)'];ADP1762.asc;1
125;ADP1763;3A, Low Vin, Low Noise, CMOS Linear Regulator;1.8;[1.5];['V(out)'];ADP1763.asc;1
126;ADP1764;4A, Low Vin, Low Noise, CMOS Linear Regulator;1.8;[1.5];['V(out)'];ADP1764.asc;1
127;ADP1765;5A, Low Vin, Low Noise, CMOS Linear Regulator;1.8;[1.5];['V(out)'];ADP1765.asc;1
128;ADP1851;Wide Range Input, Synchronous, Step-Down DC-to-DC Controller;12.0;[1.8];['V(out)'];ADP1851.asc;1
129;ADP1853;Synchronous, Step-Down DC-to-DC Controller with Voltage Tracking and Synchronization;12.0;[1.8];['V(out)'];ADP1853.asc;1
130;ADP198;Logic Controlled, 1A, High-Side Load Switch with Reverse Current Blocking;1.65;[1.6];['V(out)'];ADP198.asc;1
131;ADP2119-ADJ;Adjustable Output 2A 1.2MHz Synchronous Step-Down DC-DC Regulator;5.0;[3.3];['V(out)'];ADP2119-ADJ.asc;1
132;ADP2120-ADJ;Adjustable Output 1.25A 1.2MHz Synchronous Step-Down DC-DC Regulator;5.0;[3.3];['V(out)'];ADP2120-ADJ.asc;1
133;ADP2164;6.5 V, 4 A, High Efficiency, Step-Down DC-to-DC Regulator;5.0;[1.2];['V(out)'];ADP2164.asc;1
134;ADP2165;5.5V, 5A, High Efficiency, Synchronous Buck Regulator with Output Tracking, Adjustable Output;5.0;[1.2];['V(out)'];ADP2165.asc;1
135;ADP2166;5.5V, 6A, High Efficiency, Synchronous Buck Regulator with Output Tracking, Adjustable Output;5.0;[1.2];['V(out)'];ADP2166.asc;1
136;ADP2300;1.2 A, 20 V, 700kHz Nonsynchronous Step-Down Regulator;12.0;[5.0];['V(out)'];ADP2300.asc;1
137;ADP2301;1.2A, 20V, 1.4MHz Nonsynchronous Step-Down Regulator;12.0;[5.0];['V(out)'];ADP2301.asc;1
138;ADP2302;2 A, 20 V, 700kHz Nonsynchronous Step-Down Regulator;12.0;[5.0];['V(out)'];ADP2302.asc;1
139;ADP2303;3 A, 20 V, 700kHz Nonsynchronous Step-Down Regulator;12.0;[5.0];['V(out)'];ADP2303.asc;1
140;ADP2360;60V 50mA High Efficiency Buck Regulator;5.0;[3.4];['V(out)'];ADP2360.asc;1
141;ADP2371-ADJ;High Voltage, 1.2MHz/600kHz, 800mA Low Quiescent Current Buck Regulator with Quick Output Discharge(QOD);12.0;[5.1];['V(out)'];ADP2371-ADJ.asc;1
142;ADP2384;20V, 4A, Synchronous, Step-Down DC-to-DC Regulator;13.2;[2.7];['V(out)'];ADP2384.asc;1
143;ADP2386;20V, 6A, Synchronous, Step-Down DC-to-DC Regulator;13.2;[3.0];['V(out)'];ADP2386.asc;1
144;ADP2387;20V, 6A, Programmable current-limit, Synchronous, Step-Down DC-to-DC Regulator;13.2;[3.0];['V(out)'];ADP2387.asc;1
145;ADP2389;18V, 12A, Programmable current limit, Synchronous Buck Regulator with Enhanced transient response;12.0;[1.8];['V(out)'];ADP2389.asc;1
146;ADP2390;18V, 12A, Programmable current limit, PFM, Synchronous Buck Regulator with Enhanced transient response;12.0;[1.8];['V(out)'];ADP2390.asc;1
147;ADP2441;1A, 36V, Synchronous, Step-Down DC-to-DC Regulator;24.0;[5.0];['V(out)'];ADP2441.asc;1
148;ADP2442;1A, 36V, Synchronous, Step-Down DC-to-DC Regulator with External Clock Synchronization;24.0;[5.0];['V(out)'];ADP2442.asc;1
149;ADP2443;3A, 36V, Synchronous, Step-Down DC-to-DC Regulator;24.0;[5.0];['V(out)'];ADP2443.asc;1
150;ADP2503-2.8;600mA, 2.5MHz Buck-Boost DC to DC Converters;3.3;[2.8];['V(out)'];ADP2503-2.8.asc;1
151;ADP2503-3.3;600mA, 2.5MHz Buck-Boost DC to DC Converters;3.3;[3.3];['V(out)'];ADP2503-3.3.asc;1
152;ADP2503-3.5;600mA, 2.5MHz Buck-Boost DC to DC Converters;3.3;[3.5];['V(out)'];ADP2503-3.5.asc;1
153;ADP2503-4.2;600mA, 2.5MHz Buck-Boost DC to DC Converters;3.3;[4.2];['V(out)'];ADP2503-4.2.asc;1
154;ADP2503-4.5;600mA, 2.5MHz Buck-Boost DC to DC Converters;3.3;[4.5];['V(out)'];ADP2503-4.5.asc;1
155;ADP2503-5.0;600mA, 2.5MHz Buck-Boost DC to DC Converters;3.3;[5.1];['V(out)'];ADP2503-5.0.asc;1
156;ADP2503-ADJ;600mA, 2.5MHz Buck-Boost DC to DC Converters;3.3;[5.1];['V(out)'];ADP2503-ADJ.asc;1
157;ADP2504-2.8;1A, 2.5MHz Buck-Boost DC to DC Converters;3.3;[2.8];['V(out)'];ADP2504-2.8.asc;1
158;ADP2504-3.3;1A, 2.5MHz Buck-Boost DC to DC Converters;3.3;[3.3];['V(out)'];ADP2504-3.3.asc;1
159;ADP2504-3.5;1A, 2.5MHz Buck-Boost DC to DC Converters;3.3;[3.5];['V(out)'];ADP2504-3.5.asc;1
160;ADP2504-4.2;1A, 2.5MHz Buck-Boost DC to DC Converters;3.3;[4.2];['V(out)'];ADP2504-4.2.asc;1
161;ADP2504-4.5;1A, 2.5MHz Buck-Boost DC to DC Converters;3.3;[4.5];['V(out)'];ADP2504-4.5.asc;1
162;ADP2504-5.0;1A, 2.5MHz Buck-Boost DC to DC Converters;3.3;[5.1];['V(out)'];ADP2504-5.0.asc;1
163;ADP2504-ADJ;1A, 2.5MHz Buck-Boost DC to DC Converters;3.3;[5.1];['V(out)'];ADP2504-ADJ.asc;1
164;ADP7102;20V, 300mA, Low Noise, CMOS LDO, Adjustable Output;4.3;[3.2999999523162837];['V(out)'];ADP7102.asc;1
165;ADP7104;20V, 500mA, Low Noise, CMOS LDO, Adjustable Output;4.3;[3.2999999523162837];['V(out)'];ADP7104.asc;1
166;ADP7105;20V, 500mA, Low Noise, CMOS LDO with Soft Start, Adjustable Output;4.3;[3.2999999523162837];['V(out)'];ADP7105.asc;1
167;ADP7112;20V, 200mA, Low Noise, CMOS LDO, Adjustable Output;4.3;[3.2999999523162837];['V(out)'];ADP7112.asc;1
168;ADP7118;20V, 200mA, Low Noise, CMOS LDO, Adjustable Output;4.3;[3.2999999523162837];['V(out)'];ADP7118.asc;1
169;ADP7142;40V, 200mA, Low Noise, CMOS LDO, Adjustable Output;4.3;[3.2999999523162837];['V(out)'];ADP7142.asc;1
170;ADP7156-1.2;1.2A, Ultralow Noise, High PSRR, RF Linear Regulator;2.4;[1.2];['V(out)'];ADP7156-1.2.asc;1
171;ADP7156-1.8;1.2A, Ultralow Noise, High PSRR, RF Linear Regulator;2.4;[1.8];['V(out)'];ADP7156-1.8.asc;1
172;ADP7156-2.0;1.2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.0;[2.0];['V(out)'];ADP7156-2.0.asc;1
173;ADP7156-2.5;1.2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.3;[2.5];['V(out)'];ADP7156-2.5.asc;1
174;ADP7156-2.8;1.2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.5;[2.8];['V(out)'];ADP7156-2.8.asc;1
175;ADP7156-3.0;1.2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.8;[3.0];['V(out)'];ADP7156-3.0.asc;1
176;ADP7156-3.3;1.2A, Ultralow Noise, High PSRR, RF Linear Regulator;4.0;[3.3];['V(out)'];ADP7156-3.3.asc;1
177;ADP7158-1.2;2A, Ultralow Noise, High PSRR, RF Linear Regulator;2.4;[1.2];['V(out)'];ADP7158-1.2.asc;1
178;ADP7158-1.8;2A, Ultralow Noise, High PSRR, RF Linear Regulator;2.4;[1.8];['V(out)'];ADP7158-1.8.asc;1
179;ADP7158-2.0;2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.0;[2.0];['V(out)'];ADP7158-2.0.asc;1
180;ADP7158-2.5;2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.3;[2.5];['V(out)'];ADP7158-2.5.asc;1
181;ADP7158-2.8;2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.5;[2.8];['V(out)'];ADP7158-2.8.asc;1
182;ADP7158-3.0;2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.8;[3.0];['V(out)'];ADP7158-3.0.asc;1
183;ADP7158-3.3;2A, Ultralow Noise, High PSRR, RF Linear Regulator;4.0;[3.3];['V(out)'];ADP7158-3.3.asc;1
184;ADP7159-01;2A, Ultralow Noise, High PSRR, RF Linear Regulator;2.4;[1.8];['V(out)'];ADP7159-01.asc;1
185;ADP7159-02;2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.0;[2.0];['V(out)'];ADP7159-02.asc;1
186;ADP7159-03;2A, Ultralow Noise, High PSRR, RF Linear Regulator;3.5;[2.5];['V(out)'];ADP7159-03.asc;1
187;ADP7159-04;2A, Ultralow Noise, High PSRR, RF Linear Regulator;4.0;[3.3];['V(out)'];ADP7159-04.asc;1
188;LT1054;Switched-Capacitor Voltage Converter with Regulator;10.0;[7.800000190734862];['V(out)'];1054.asc;1
189;LT1054L;Switched-Capacitor Voltage Converter with Regulator;10.0;[7.800000190734862];['V(out)'];1054.asc;1
190;LT1070;5A High Efficiency Switching Regulator;5.0;[12.3];['V(out)'];1070.asc;1
191;LT1070HV;5A High Efficiency Switching Regulator(High Voltage version);5.0;[12.3];['V(out)'];1070.asc;1
192;LT1071;2.5A High Efficiency Switching Regulator;5.0;[12.5];['V(out)'];1071.asc;1
193;LT1071HV;2.5A High Efficiency Switching Regulator(High Voltage version);5.0;[12.5];['V(out)'];1071.asc;1
194;LT1072;1.25A High Efficiency Switching Regulator;5.0;[12.6];['V(out)'];1072.asc;1
195;LT1072HV;1.25A High Efficiency Switching Regulator(High Voltage version);5.0;[12.6];['V(out)'];1072.asc;1
196;LT1073;5 Volt µPower DC/DC Converter;2.8;[4.5];['V(out)'];1073.asc;1
197;LT1073-12;12 Volt µPower DC/DC Converter;2.8;[12.1];['V(out)'];1073-12.asc;1
